"Tabela 1737 - IPCA - Série histórica com número-índice, variação mensal e variações acumuladas em 3 meses, em 6 meses, no ano e em 12 meses (a partir de dezembro/1979)"
"Mês","","Variável"
"Mês","","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","IPCA - Variação mensal (%)","IPCA - Variação acumulada em 3 meses (%)","IPCA - Variação acumulada em 6 meses (%)","IPCA - Variação acumulada no ano (%)","IPCA - Variação acumulada em 12 meses (%)"
"fevereiro 2003","Brasil","2118.4300000000000","1.57","6.04","11.47","3.86","15.85"
"março 2003","Brasil","2144.4900000000000","1.23","5.13","12.03","5.13","16.57"
"abril 2003","Brasil","2165.2900000000000","0.97","3.82","11.66","6.15","16.77"
"maio 2003","Brasil","2178.5000000000000","0.61","2.84","9.04","6.80","17.24"
"junho 2003","Brasil","2175.2300000000000","-0.15","1.43","6.64","6.64","16.57"
"julho 2003","Brasil","2179.5800000000000","0.20","0.66","4.50","6.85","15.43"
"agosto 2003","Brasil","2186.9900000000000","0.34","0.39","3.24","7.22","15.07"
"setembro 2003","Brasil","2204.0500000000000","0.78","1.32","2.78","8.05","15.14"
"outubro 2003","Brasil","2210.4400000000000","0.29","1.42","2.09","8.37","13.98"
"novembro 2003","Brasil","2217.9600000000000","0.34","1.42","1.81","8.74","11.02"
"dezembro 2003","Brasil","2229.4900000000000","0.52","1.15","2.49","9.30","9.30"
"janeiro 2004","Brasil","2246.4300000000000","0.76","1.63","3.07","0.76","7.71"
"fevereiro 2004","Brasil","2260.1300000000000","0.61","1.90","3.34","1.37","6.69"
"março 2004","Brasil","2270.7500000000000","0.47","1.85","3.03","1.85","5.89"
"abril 2004","Brasil","2279.1500000000000","0.37","1.46","3.11","2.23","5.26"
"maio 2004","Brasil","2290.7700000000000","0.51","1.36","3.28","2.75","5.15"
"junho 2004","Brasil","2307.0300000000000","0.71","1.60","3.48","3.48","6.06"
"julho 2004","Brasil","2328.0200000000000","0.91","2.14","3.63","4.42","6.81"
"agosto 2004","Brasil","2344.0800000000000","0.69","2.33","3.71","5.14","7.18"
"setembro 2004","Brasil","2351.8200000000000","0.33","1.94","3.57","5.49","6.70"
"outubro 2004","Brasil","2362.1700000000000","0.44","1.47","3.64","5.95","6.86"
"novembro 2004","Brasil","2378.4700000000000","0.69","1.47","3.83","6.68","7.24"
"dezembro 2004","Brasil","2398.9200000000000","0.86","2.00","3.98","7.60","7.60"
"janeiro 2005","Brasil","2412.8300000000000","0.58","2.14","3.64","0.58","7.41"
"fevereiro 2005","Brasil","2427.0700000000000","0.59","2.04","3.54","1.17","7.39"
